City,Latitude,Longitude
Lille,50.6365654,3.0635282
Lambersart,50.6477924,3.0223644
Loos,50.6092082,3.0162523
Roubaix,50.6915893,3.1741734
Tourcoing,50.7235038,3.1605714
Croix,50.6802124,3.1564365
Mons-en-Barœul,50.6428547,3.1093516
Ronchin,50.6056749,3.0778827
Marcq-en-Barœul,50.6767018,3.1043032
Englos,50.6263892,2.9563734
Villeneuve-d'Ascq,50.6193174,3.1314002
Wasquehal,50.6691577,3.1312447
Seclin,50.5452102,3.0252819
Bondues,50.7034622,3.0921638
Mouvaux,50.7029,3.13689
Phalempin,50.5172168,3.0180377
Lesquin,50.5888,3.10997
Hem,50.6540895,3.1839429
Mouscron,50.7436672,3.2142729
Roncq,50.7531232,3.1209016
